season_label,team,gk_save_pct,gk_cs_pct,gk_ga90,top3_ga_per90,squad_age,squad_depth,team_tkl_per90,team_int_per90,team_discipline_per90,avg_on_off
2017-2018,Arsenal,68.6,32.4,1.42,0.53,26.282642866657785,16.0,1.042915368017262,1.1028530328458404,0.15104291536801726,0.12999999999999998
2017-2018,Bournemouth,65.5,15.8,1.61,0.35,26.36120703394783,17.0,0.8223762849629453,0.9347358355247432,0.15060961032751616,0.10142857142857141
2017-2018,Brighton,70.6,26.3,1.42,0.16,27.01965739213704,14.0,0.9478219243657253,1.151268549545237,0.14360938247965535,0.28250000000000003
2017-2018,Burnley,78.7,32.4,1.01,0.4,26.92105263157895,19.0,0.8925580282364203,1.0576692988753291,0.1555396027757837,0.07375000000000001
2017-2018,Chelsea,70.4,42.9,0.97,0.56,26.171305809826265,15.0,1.0812109562710237,1.0643921191734744,0.1465641518500721,0.07533333333333334
2017-2018,Crystal Palace,69.7,25.9,1.52,1.0,26.613370547581074,17.0,1.1267942583732058,1.4497607655502391,0.1722488038277512,0.15375
2017-2018,Everton,69.9,26.3,1.53,0.62,26.13261152935543,18.0,1.0818573480134033,1.3451412158927714,0.1603638104356151,0.200625
2017-2018,Huddersfield Town,67.7,26.3,1.5,0.29,25.969966451887746,18.0,1.2437095614665707,1.286843997124371,0.17733045770428948,0.13399999999999998
2017-2018,Leicester City,67.4,24.2,1.43,1.4100000000000001,26.695883983791852,14.0,1.0820537428023032,1.0772552783109404,0.20153550863723607,0.25
2017-2018,Liverpool,73.3,52.6,0.74,2.13,25.14834828439854,19.0,1.111909896956626,0.9944883776659478,0.11262880421758927,0.12789473684210523
2017-2018,Manchester City,66.7,44.4,0.73,1.0699999999999998,25.989007771744916,16.0,0.9537502995446921,0.9178049364965254,0.17972681524083395,-0.14125000000000001
2017-2018,Manchester Utd,81.3,48.6,0.76,0.91,26.099297947026912,17.0,0.9288963370840317,1.194637299497247,0.1604022025377065,-0.06187500000000001
2017-2018,Newcastle United,69.7,18.8,1.31,0.41000000000000003,25.166356184798808,19.0,1.0581757242039742,1.1683026095283697,0.15082595163993298,0.10421052631578948
2017-2018,Southampton,70.3,20.0,1.5,0.24000000000000002,25.547467765519073,19.0,1.1419679195594925,1.1491501077328226,0.16997845343548001,0.05444444444444445
2017-2018,Stoke City,72.7,17.1,1.74,0.7000000000000001,26.887592676250964,16.0,1.1028708133971294,1.174641148325359,0.15550239234449764,0.49937500000000007
2017-2018,Swansea City,72.3,23.7,1.47,0.16999999999999998,26.60280759702725,14.0,1.0232446681044811,1.0615863886891923,0.12940330697340044,0.22181818181818178
